country	continent	year	lifeExp	pop	gdpPercap	sex	BMI	pred
Oman	Asia	2007	75.64	3204897	22316.19287	male	26.1214	26.430318141256393
Oman	Asia	2007	75.64	3204897	22316.19287	female	26.61815	26.430318141256393
Pakistan	Asia	2007	65.483	169270617	2605.94758	male	22.24841	23.83753816261035
Pakistan	Asia	2007	65.483	169270617	2605.94758	female	23.37641	23.83753816261035
Panama	Americas	2007	75.537	3242173	9809.185636	male	26.12567	25.437893603774434
Panama	Americas	2007	75.537	3242173	9809.185636	female	27.51489	25.437893603774434
Paraguay	Americas	2007	71.752	6667147	4172.838464	male	25.43538	24.405953502667607
Paraguay	Americas	2007	71.752	6667147	4172.838464	female	25.80675	24.405953502667607
Peru	Americas	2007	71.421	28674757	7408.905561	male	24.67405	25.099070190656896
Peru	Americas	2007	71.421	28674757	7408.905561	female	25.95748	25.099070190656896
Philippines	Asia	2007	71.688	91077287	3190.481016	male	22.8007	24.081873785504214
Philippines	Asia	2007	71.688	91077287	3190.481016	female	23.3839	24.081873785504214
Poland	Europe	2007	75.563	38518241	15389.92468	male	26.57013	25.981671585958328
Poland	Europe	2007	75.563	38518241	15389.92468	female	25.89025	25.981671585958328
Portugal	Europe	2007	78.098	10642836	20509.64777	male	26.6081	26.328398021390342
Portugal	Europe	2007	78.098	10642836	20509.64777	female	26.14834	26.328398021390342
Puerto Rico	Americas	2007	78.746	3942491	19328.70901	male	28.22804	26.256798118957505
Puerto Rico	Americas	2007	78.746	3942491	19328.70901	female	30.08747	26.256798118957505
Romania	Europe	2007	72.476	22276056	10808.47561	male	25.28747	25.555019185211478
Romania	Europe	2007	72.476	22276056	10808.47561	female	25.18177	25.555019185211478
Rwanda	Africa	2007	46.242	8860588	863.0884639	male	22.4516	22.503387011741943
Rwanda	Africa	2007	46.242	8860588	863.0884639	female	21.99589	22.503387011741943
Sao Tome and Principe	Africa	2007	65.528	199579	1598.435089	male	23.37208	23.247425547488405
Sao Tome and Principe	Africa	2007	65.528	199579	1598.435089	female	24.72319	23.247425547488405
Saudi Arabia	Asia	2007	72.777	27601038	21654.83194	male	27.7644	26.393996629668933
Saudi Arabia	Asia	2007	72.777	27601038	21654.83194	female	29.45772	26.393996629668933
Senegal	Africa	2007	63.062	12267493	1712.472136	male	21.84124	23.330626823896964
Senegal	Africa	2007	63.062	12267493	1712.472136	female	24.18556	23.330626823896964
Serbia	Europe	2007	74.002	10150265	9786.534714	male	26.42002	25.43510244810654
Serbia	Europe	2007	74.002	10150265	9786.534714	female	25.60437	25.43510244810654
Sierra Leone	Africa	2007	42.568	6144562	862.5407561	male	22.41321	22.502620602615007
Sierra Leone	Africa	2007	42.568	6144562	862.5407561	female	23.76172	22.502620602615007
Singapore	Asia	2007	79.972	4553009	47143.17964	male	23.83205	27.333258937079158
Singapore	Asia	2007	79.972	4553009	47143.17964	female	22.93832	27.333258937079158
Slovak Republic	Europe	2007	74.663	5447502	18678.31435	male	26.82124	26.215472942127086
Slovak Republic	Europe	2007	74.663	5447502	18678.31435	female	26.27675	26.215472942127086
Slovenia	Europe	2007	77.926	2009245	25768.25759	male	27.35064	26.603970738270387
Slovenia	Europe	2007	77.926	2009245	25768.25759	female	26.55853	26.603970738270387
Somalia	Africa	2007	48.159	9118773	926.1410683	male	21.89742	22.5885157233771
Somalia	Africa	2007	48.159	9118773	926.1410683	female	22.58255	22.5885157233771
South Africa	Africa	2007	49.339	43997828	9269.657808	male	26.51022	25.36959106810572
South Africa	Africa	2007	49.339	43997828	9269.657808	female	29.31084	25.36959106810572
Spain	Europe	2007	80.941	40448191	28821.0637	male	27.39562	26.73914813951074
Spain	Europe	2007	80.941	40448191	28821.0637	female	26.27577	26.73914813951074
Sri Lanka	Asia	2007	72.396	20378239	3970.095407	male	21.88625	24.34582033778466
Sri Lanka	Asia	2007	72.396	20378239	3970.095407	female	23.04109	24.34582033778466
Sudan	Africa	2007	58.556	42292929	2602.394995	male	22.28084	23.83589112234396
Sudan	Africa	2007	58.556	42292929	2602.394995	female	23.04149	23.83589112234396
Swaziland	Africa	2007	39.613	1133066	4513.480643	male	23.05694	24.50069595824928
Swaziland	Africa	2007	39.613	1133066	4513.480643	female	28.34144	24.50069595824928
Sweden	Europe	2007	80.884	9031088	33859.74835	male	26.29358	26.933675132812866
Sweden	Europe	2007	80.884	9031088	33859.74835	female	25.12062	26.933675132812866
Switzerland	Europe	2007	81.701	7554661	37506.41907	male	26.13979	27.05716797890641
Switzerland	Europe	2007	81.701	7554661	37506.41907	female	24.06285	27.05716797890641
Syria	Asia	2007	74.143	19314747	4184.548089	male	26.84018	24.409336736342155
Syria	Asia	2007	74.143	19314747	4184.548089	female	28.78184	24.409336736342155
Taiwan	Asia	2007	78.4	23174294	28718.27684	male	24.38886	26.734834613764093
Taiwan	Asia	2007	78.4	23174294	28718.27684	female	23.04753	26.734834613764093
Tanzania	Africa	2007	52.517	38139640	1107.482182	male	22.38359	22.804409480178716
Tanzania	Africa	2007	52.517	38139640	1107.482182	female	22.98873	22.804409480178716
Thailand	Asia	2007	70.616	65068149	7458.396327	male	22.93186	25.107108280080613
Thailand	Asia	2007	70.616	65068149	7458.396327	female	24.31875	25.107108280080613
Togo	Africa	2007	58.42	5701579	882.9699438	male	21.80899	22.53088291081024
Togo	Africa	2007	58.42	5701579	882.9699438	female	22.62821	22.53088291081024
Trinidad and Tobago	Americas	2007	69.819	1056608	18008.50924	male	26.27426	26.171382361265266
Trinidad and Tobago	Americas	2007	69.819	1056608	18008.50924	female	28.1595	26.171382361265266
Tunisia	Africa	2007	73.923	10276158	7092.923025	male	25.03337	25.04644807918345
Tunisia	Africa	2007	73.923	10276158	7092.923025	female	27.82789	25.04644807918345
Turkey	Europe	2007	71.777	71158647	8458.276384	male	26.56181	25.25899755189825
Turkey	Europe	2007	71.777	71158647	8458.276384	female	28.18455	25.25899755189825
Uganda	Africa	2007	51.542	29170398	1056.380121	male	22.2968	22.747373518755
Uganda	Africa	2007	51.542	29170398	1056.380121	female	22.39087	22.747373518755
United Kingdom	Europe	2007	79.425	60776238	33203.26128	male	27.29918	26.910036833709164
United Kingdom	Europe	2007	79.425	60776238	33203.26128	female	26.85908	26.910036833709164
United States	Americas	2007	78.242	301139947	42951.65309	male	28.37574	27.220838523118335
United States	Americas	2007	78.242	301139947	42951.65309	female	28.25992	27.220838523118335
Uruguay	Americas	2007	76.384	3447496	10611.46299	male	26.29256	25.532809250309924
Uruguay	Americas	2007	76.384	3447496	10611.46299	female	26.45495	25.532809250309924
Venezuela	Americas	2007	73.747	26084662	11415.80569	male	27.30849	25.62102229870351
Venezuela	Americas	2007	73.747	26084662	11415.80569	female	27.98427	25.62102229870351
Vietnam	Asia	2007	74.249	85262356	2441.576404	male	20.80189	23.758877052212895
Vietnam	Asia	2007	74.249	85262356	2441.576404	female	20.9751	23.758877052212895
West Bank and Gaza	Asia	2007	73.422	4018332	3025.349798	male	26.5546	24.017709787896123
West Bank and Gaza	Asia	2007	73.422	4018332	3025.349798	female	28.96325	24.017709787896123
Yemen, Rep.	Asia	2007	62.698	22211743	2280.769906	male	24.37949	23.676620041591576
Yemen, Rep.	Asia	2007	62.698	22211743	2280.769906	female	26.01885	23.676620041591576
Zambia	Africa	2007	42.384	11746035	1271.211593	male	20.5977	22.970878972648833
Zambia	Africa	2007	42.384	11746035	1271.211593	female	22.94991	22.970878972648833
Zimbabwe	Africa	2007	43.487	12311143	469.7092981	male	21.97405	21.76883811488817
Zimbabwe	Africa	2007	43.487	12311143	469.7092981	female	24.63906	21.76883811488817
