country	sex	year	BMI
Mauritania	male	1981	20.90764
Mauritius	male	1981	22.1012
Mexico	male	1981	24.60031
Micronesia, Fed. Sts.	male	1981	24.53078
Moldova	male	1981	24.71636
Mongolia	male	1981	23.52186
Montenegro	male	1981	25.52961
Morocco	male	1981	23.29614
Mozambique	male	1981	20.45127
Myanmar	male	1981	19.6972
Namibia	male	1981	21.10802
Nauru	male	1981	28.35509
Nepal	male	1981	20.92431
Netherlands	male	1981	24.15129
Netherlands Antilles	male	1981	24.75996
New Zealand	male	1981	25.31869
Nicaragua	male	1981	24.08819
Niger	male	1981	20.56417
Nigeria	male	1981	21.04177
Norway	male	1981	24.73764
Oman	male	1981	23.1285
Pakistan	male	1981	21.54144
Palau	male	1981	25.55124
Panama	male	1981	23.60551
Papua New Guinea	male	1981	21.8902
Paraguay	male	1981	23.48692
Peru	male	1981	23.08686
Philippines	male	1981	21.28866
Poland	male	1981	25.1595
Portugal	male	1981	25.04398
Puerto Rico	male	1981	24.87429
Qatar	male	1981	25.06774
Romania	male	1981	24.6933
Russia	male	1981	25.00232
Rwanda	male	1981	21.6614
Saint Kitts and Nevis	male	1981	25.33652
Saint Lucia	male	1981	22.85923
Saint Vincent and the Grenadines	male	1981	23.11392
Samoa	male	1981	25.99935
Sao Tome and Principe	male	1981	21.31334
Saudi Arabia	male	1981	25.17207
Senegal	male	1981	20.31774
Serbia	male	1981	25.64709
Seychelles	male	1981	22.26575
Sierra Leone	male	1981	21.40767
Singapore	male	1981	22.63397
Slovak Republic	male	1981	25.58635
Slovenia	male	1981	25.73622
Solomon Islands	male	1981	24.11103
Somalia	male	1981	20.96415
South Africa	male	1981	23.17439
Spain	male	1981	25.37087
Sri Lanka	male	1981	20.44378
Sudan	male	1981	20.75761
Suriname	male	1981	23.36229
Swaziland	male	1981	21.4468
Sweden	male	1981	24.75768
Switzerland	male	1981	25.17901
Syria	male	1981	24.47281
Taiwan	male	1981	22.47259
Tajikistan	male	1981	24.21477
Tanzania	male	1981	21.30234
Thailand	male	1981	20.36836
Timor-Leste	male	1981	19.94611
Togo	male	1981	20.93318
Tonga	male	1981	26.53977
Trinidad and Tobago	male	1981	24.89256
Tunisia	male	1981	22.27883
Turkey	male	1981	23.72726
Turkmenistan	male	1981	24.39382
Uganda	male	1981	21.2759
Ukraine	male	1981	24.92332
United Arab Emirates	male	1981	25.0757
United Kingdom	male	1981	24.78911
United States	male	1981	25.57524
Uruguay	male	1981	24.31948
Uzbekistan	male	1981	24.60077
Vanuatu	male	1981	23.3299
Venezuela	male	1981	24.69666
Vietnam	male	1981	19.03902
West Bank and Gaza	male	1981	24.40192
Yemen, Rep.	male	1981	22.96813
Zambia	male	1981	19.69512
Zimbabwe	male	1981	21.48867
Afghanistan	male	1982	21.45145
Albania	male	1982	25.25636
Algeria	male	1982	22.43647
Andorra	male	1982	25.74681
Angola	male	1982	20.93754
Antigua and Barbuda	male	1982	23.45883
Argentina	male	1982	25.50242
Armenia	male	1982	23.91023
Australia	male	1982	25.0766
Austria	male	1982	24.93482
Azerbaijan	male	1982	24.56064
Bahamas	male	1982	24.4275
Bahrain	male	1982	24.20617
Bangladesh	male	1982	20.43741
Barbados	male	1982	24.49314
Belarus	male	1982	24.91623
Belgium	male	1982	25.16059
Belize	male	1982	24.71853
Benin	male	1982	20.88208
Bermuda	male	1982	25.31163
Bhutan	male	1982	21.78799
Bolivia	male	1982	23.07385
Bosnia and Herzegovina	male	1982	25.35258
Botswana	male	1982	19.62362
Brazil	male	1982	22.81802
British Virgin Islands	male	1982	23.85294
Brunei	male	1982	23.30495
Bulgaria	male	1982	25.39515
Burkina Faso	male	1982	20.09198
Burundi	male	1982	21.12784
Cambodia	male	1982	19.7174
Cameroon	male	1982	21.94666
Canada	male	1982	25.4102
Cape Verde	male	1982	20.77269
Central African Rep.	male	1982	20.96119
Chad	male	1982	20.2314
Chile	male	1982	24.62478
China	male	1982	21.5955
Colombia	male	1982	22.26799
Comoros	male	1982	21.04036
Congo, Dem. Rep.	male	1982	20.72111
Congo, Rep.	male	1982	20.76571
Cook Islands	male	1982	26.67362
Costa Rica	male	1982	23.82701
Cote d'Ivoire	male	1982	21.22675
Croatia	male	1982	25.34765
Cuba	male	1982	22.89338
Cyprus	male	1982	25.42285
Czech Rep.	male	1982	26.40544
Denmark	male	1982	24.57527
Djibouti	male	1982	21.40683
Dominica	male	1982	22.46119
Dominican Rep.	male	1982	23.02566
Ecuador	male	1982	23.90204
Egypt	male	1982	24.44688
El Salvador	male	1982	23.8904
Equatorial Guinea	male	1982	21.12008
Eritrea	male	1982	20.06819
Estonia	male	1982	24.70221
Ethiopia	male	1982	19.52747
Fiji	male	1982	22.57832
Finland	male	1982	25.50321
France	male	1982	24.76177
French Polynesia	male	1982	25.7889
Gabon	male	1982	22.37964
Gambia	male	1982	20.00107
Georgia	male	1982	24.71051
Germany	male	1982	25.55565
Ghana	male	1982	21.01856
Greece	male	1982	24.88029
Greenland	male	1982	24.57298
Grenada	male	1982	23.36183
Guatemala	male	1982	23.33675
Guinea	male	1982	21.19272
Guinea-Bissau	male	1982	20.74743
Guyana	male	1982	22.74163
Haiti	male	1982	22.9583
Honduras	male	1982	23.25895
Hong Kong, China	male	1982	21.86784
Hungary	male	1982	25.42012
Iceland	male	1982	25.00838
India	male	1982	21.00317
Indonesia	male	1982	19.94077
Iran	male	1982	23.31364
Iraq	male	1982	25.16866
Ireland	male	1982	25.86538
Israel	male	1982	24.84701
Italy	male	1982	25.41974
Jamaica	male	1982	22.38478
Japan	male	1982	22.1382
Jordan	male	1982	24.90362
Kazakhstan	male	1982	24.66513
Kenya	male	1982	20.4088
Kiribati	male	1982	25.62888
Korea, Dem. Rep.	male	1982	21.89581
Korea, Rep.	male	1982	22.10213
Kuwait	male	1982	25.69393
Kyrgyzstan	male	1982	24.40658
Laos	male	1982	19.67721
Latvia	male	1982	25.15379
Lebanon	male	1982	24.0756
Lesotho	male	1982	20.62078
Liberia	male	1982	21.18413
Libya	male	1982	24.61506
Lithuania	male	1982	25.98854
Luxembourg	male	1982	25.09048
Macao, China	male	1982	22.86494
Macedonia, FYR	male	1982	25.45236
Madagascar	male	1982	20.73192
Malawi	male	1982	20.84065
Malaysia	male	1982	21.7849
Maldives	male	1982	20.56406
Mali	male	1982	20.32526
Malta	male	1982	25.79222
Marshall Islands	male	1982	24.97811
Mauritania	male	1982	20.95424
Mauritius	male	1982	22.20631
Mexico	male	1982	24.73697
Micronesia, Fed. Sts.	male	1982	24.65937
Moldova	male	1982	24.70478
Mongolia	male	1982	23.54675
Montenegro	male	1982	25.54953
Morocco	male	1982	23.37691
Mozambique	male	1982	20.46667
Myanmar	male	1982	19.73897
Namibia	male	1982	21.13112
Nauru	male	1982	28.58248
Nepal	male	1982	20.88984
Netherlands	male	1982	24.17799
Netherlands Antilles	male	1982	24.89463
New Zealand	male	1982	25.37423
Nicaragua	male	1982	24.14205
Niger	male	1982	20.60781
Nigeria	male	1982	21.07423
Norway	male	1982	24.78809
Oman	male	1982	23.22638
Pakistan	male	1982	21.55069
Palau	male	1982	25.67951
Panama	male	1982	23.6924
Papua New Guinea	male	1982	22.01556
Paraguay	male	1982	23.56611
Peru	male	1982	23.1289
Philippines	male	1982	21.35576
Poland	male	1982	25.16896
Portugal	male	1982	25.04309
Puerto Rico	male	1982	24.94592
Qatar	male	1982	25.16338
Romania	male	1982	24.72487
Russia	male	1982	24.99679
Rwanda	male	1982	21.71239
Saint Kitts and Nevis	male	1982	25.40736
Saint Lucia	male	1982	22.8879
Saint Vincent and the Grenadines	male	1982	23.16536
Samoa	male	1982	26.15725
Sao Tome and Principe	male	1982	21.36899
Saudi Arabia	male	1982	25.30601
Senegal	male	1982	20.37281
Serbia	male	1982	25.68167
Seychelles	male	1982	22.36578
Sierra Leone	male	1982	21.45595
Singapore	male	1982	22.69746
Slovak Republic	male	1982	25.62135
Slovenia	male	1982	25.77252
Solomon Islands	male	1982	24.23121
Somalia	male	1982	20.99438
South Africa	male	1982	23.20612
Spain	male	1982	25.39528
Sri Lanka	male	1982	20.49434
Sudan	male	1982	20.79627
Suriname	male	1982	23.42391
Swaziland	male	1982	21.47732
Sweden	male	1982	24.79446
Switzerland	male	1982	25.20452
Syria	male	1982	24.59099
Taiwan	male	1982	22.54484
Tajikistan	male	1982	24.23035
Tanzania	male	1982	21.33163
Thailand	male	1982	20.462
Timor-Leste	male	1982	19.95992
Togo	male	1982	20.9509
Tonga	male	1982	26.71129
Trinidad and Tobago	male	1982	24.96594
Tunisia	male	1982	22.36236
Turkey	male	1982	23.79751
Turkmenistan	male	1982	24.4241
Uganda	male	1982	21.30671
Ukraine	male	1982	24.93381
United Arab Emirates	male	1982	25.2388
United Kingdom	male	1982	24.86057
United States	male	1982	25.67883
Uruguay	male	1982	24.3926
Uzbekistan	male	1982	24.62187
Vanuatu	male	1982	23.46016
Venezuela	male	1982	24.80082
Vietnam	male	1982	19.06804
West Bank and Gaza	male	1982	24.48713
Yemen, Rep.	male	1982	23.02669
Zambia	male	1982	19.72538
Zimbabwe	male	1982	21.50738
Afghanistan	male	1983	21.43822
Albania	male	1983	25.27176
Algeria	male	1983	22.52105
Andorra	male	1983	25.7825
Angola	male	1983	20.93187
Antigua and Barbuda	male	1983	23.53735
Argentina	male	1983	25.55644
Armenia	male	1983	23.95649
Australia	male	1983	25.14938
Austria	male	1983	24.98118
Azerbaijan	male	1983	24.6015
Bahamas	male	1983	24.54415
Bahrain	male	1983	24.32335
Bangladesh	male	1983	20.40075
Barbados	male	1983	24.54713
Belarus	male	1983	24.91568
Belgium	male	1983	25.18982
Belize	male	1983	24.76496
Benin	male	1983	20.90821
Bermuda	male	1983	25.4399
Bhutan	male	1983	21.77328
Bolivia	male	1983	23.08641
Bosnia and Herzegovina	male	1983	25.37304
Botswana	male	1983	19.66629
Brazil	male	1983	22.89804
British Virgin Islands	male	1983	23.91227
Brunei	male	1983	23.3387
Bulgaria	male	1983	25.44814
Burkina Faso	male	1983	20.11975
Burundi	male	1983	21.13206
Cambodia	male	1983	19.73194
Cameroon	male	1983	22.03968
Canada	male	1983	25.48895
Cape Verde	male	1983	20.84066
Central African Rep.	male	1983	20.94252
Chad	male	1983	20.25014
Chile	male	1983	24.67812
China	male	1983	21.61408
Colombia	male	1983	22.36244
Comoros	male	1983	21.07561
Congo, Dem. Rep.	male	1983	20.70907
Congo, Rep.	male	1983	20.83255
Cook Islands	male	1983	26.90854
Costa Rica	male	1983	23.88394
Cote d'Ivoire	male	1983	21.27402
Croatia	male	1983	25.37672
Cuba	male	1983	22.98056
Cyprus	male	1983	25.4805
Czech Rep.	male	1983	26.45339
Denmark	male	1983	24.58004
Djibouti	male	1983	21.48918
Dominica	male	1983	22.51509
Dominican Rep.	male	1983	23.07558
Ecuador	male	1983	23.94343
Egypt	male	1983	24.54141
El Salvador	male	1983	23.94184
Equatorial Guinea	male	1983	21.13055
Eritrea	male	1983	20.09359
Estonia	male	1983	24.70975
Ethiopia	male	1983	19.55625
Fiji	male	1983	22.71827
Finland	male	1983	25.52352
France	male	1983	24.78531
French Polynesia	male	1983	25.97905
Gabon	male	1983	22.44393
Gambia	male	1983	20.03257
Georgia	male	1983	24.76342
Germany	male	1983	25.59814
Ghana	male	1983	21.01256
Greece	male	1983	24.91068
Greenland	male	1983	24.62106
Grenada	male	1983	23.40248
Guatemala	male	1983	23.39964
Guinea	male	1983	21.2101
Guinea-Bissau	male	1983	20.76258
Guyana	male	1983	22.74203
Haiti	male	1983	22.97473
Honduras	male	1983	23.31384
Hong Kong, China	male	1983	21.98671
Hungary	male	1983	25.48757
Iceland	male	1983	25.07729
India	male	1983	20.96066
Indonesia	male	1983	19.98318
Iran	male	1983	23.4015
Iraq	male	1983	25.25453
Ireland	male	1983	25.88202
Israel	male	1983	24.8947
Italy	male	1983	25.42467
Jamaica	male	1983	22.4151
Japan	male	1983	22.156860000000002
Jordan	male	1983	25.03078
Kazakhstan	male	1983	24.71128
Kenya	male	1983	20.4523
Kiribati	male	1983	25.70594
Korea, Dem. Rep.	male	1983	21.94895
Korea, Rep.	male	1983	22.13054
Kuwait	male	1983	25.79244
Kyrgyzstan	male	1983	24.42736
Laos	male	1983	19.71391
Latvia	male	1983	25.16715
Lebanon	male	1983	24.18211
Lesotho	male	1983	20.63468
Liberia	male	1983	21.21202
Libya	male	1983	24.71525
Lithuania	male	1983	25.98756
Luxembourg	male	1983	25.14088
Macao, China	male	1983	22.9737
Macedonia, FYR	male	1983	25.48184
Madagascar	male	1983	20.74784
Malawi	male	1983	20.85144
Malaysia	male	1983	21.89074
Maldives	male	1983	20.63904
Mali	male	1983	20.33895
Malta	male	1983	25.82924
Marshall Islands	male	1983	25.14127
Mauritania	male	1983	21.00572
Mauritius	male	1983	22.30447
Mexico	male	1983	24.86073
Micronesia, Fed. Sts.	male	1983	24.78983
Moldova	male	1983	24.69535
Mongolia	male	1983	23.56861
Montenegro	male	1983	25.5734
Morocco	male	1983	23.45429
Mozambique	male	1983	20.47859
Myanmar	male	1983	19.78487
Namibia	male	1983	21.1489
Nauru	male	1983	28.81528
Nepal	male	1983	20.8529
Netherlands	male	1983	24.20056
Netherlands Antilles	male	1983	25.01301
New Zealand	male	1983	25.43056
Nicaragua	male	1983	24.1966
Niger	male	1983	20.64086
Nigeria	male	1983	21.09329
Norway	male	1983	24.83173
Oman	male	1983	23.33009
Pakistan	male	1983	21.56113
Palau	male	1983	25.8113
Panama	male	1983	23.77497
Papua New Guinea	male	1983	22.14111
Paraguay	male	1983	23.63013
Peru	male	1983	23.15487
Philippines	male	1983	21.4222
Poland	male	1983	25.18511
Portugal	male	1983	25.04187
Puerto Rico	male	1983	25.02585
Qatar	male	1983	25.23498
Romania	male	1983	24.75422
Russia	male	1983	24.99353
Rwanda	male	1983	21.76031
Saint Kitts and Nevis	male	1983	25.47582
Saint Lucia	male	1983	22.92127
Saint Vincent and the Grenadines	male	1983	23.21704
Samoa	male	1983	26.31038
Sao Tome and Principe	male	1983	21.41756
Saudi Arabia	male	1983	25.41727
Senegal	male	1983	20.41856
Serbia	male	1983	25.71951
Seychelles	male	1983	22.46072
Sierra Leone	male	1983	21.49821
Singapore	male	1983	22.76362
Slovak Republic	male	1983	25.65713
Slovenia	male	1983	25.80809
Solomon Islands	male	1983	24.34351
Somalia	male	1983	21.02672
South Africa	male	1983	23.23626
Spain	male	1983	25.41502
Sri Lanka	male	1983	20.54698
Sudan	male	1983	20.82779
Suriname	male	1983	23.48051
Swaziland	male	1983	21.49897
Sweden	male	1983	24.82977
Switzerland	male	1983	25.2227
Syria	male	1983	24.69695
Taiwan	male	1983	22.62341
Tajikistan	male	1983	24.25412
Tanzania	male	1983	21.36444
Thailand	male	1983	20.55553
Timor-Leste	male	1983	19.97382
Togo	male	1983	20.95109
Tonga	male	1983	26.87732
Trinidad and Tobago	male	1983	25.02672
Tunisia	male	1983	22.44939
Turkey	male	1983	23.86535
Turkmenistan	male	1983	24.4529
Uganda	male	1983	21.34758
Ukraine	male	1983	24.94412
United Arab Emirates	male	1983	25.36219
United Kingdom	male	1983	24.93208
United States	male	1983	25.78812
Uruguay	male	1983	24.44209
Uzbekistan	male	1983	24.6478
Vanuatu	male	1983	23.60431
Venezuela	male	1983	24.89208
Vietnam	male	1983	19.09675
West Bank and Gaza	male	1983	24.57107
Yemen, Rep.	male	1983	23.07279
Zambia	male	1983	19.7542
Zimbabwe	male	1983	21.52936
Afghanistan	male	1984	21.42734
Albania	male	1984	25.27901
Algeria	male	1984	22.60633
Andorra	male	1984	25.81874
Angola	male	1984	20.93569
Antigua and Barbuda	male	1984	23.63584
Argentina	male	1984	25.61271
Armenia	male	1984	24.00181
Australia	male	1984	25.22894
Austria	male	1984	25.02208
Azerbaijan	male	1984	24.64121
Bahamas	male	1984	24.66558
Bahrain	male	1984	24.43174
Bangladesh	male	1984	20.36524
Barbados	male	1984	24.59913
Belarus	male	1984	24.9164
Belgium	male	1984	25.21949
Belize	male	1984	24.81656
Benin	male	1984	20.96054
Bermuda	male	1984	25.56404
Bhutan	male	1984	21.7664
Bolivia	male	1984	23.1075
Bosnia and Herzegovina	male	1984	25.39811
Botswana	male	1984	19.7227
Brazil	male	1984	22.9789
British Virgin Islands	male	1984	23.97016
Brunei	male	1984	23.37014
Bulgaria	male	1984	25.5058
Burkina Faso	male	1984	20.14327
Burundi	male	1984	21.12775
Cambodia	male	1984	19.74852
Cameroon	male	1984	22.11848
Canada	male	1984	25.57519
Cape Verde	male	1984	20.91738
Central African Rep.	male	1984	20.92022
Chad	male	1984	20.27327
Chile	male	1984	24.73825
China	male	1984	21.64363
Colombia	male	1984	22.45181
Comoros	male	1984	21.10763
Congo, Dem. Rep.	male	1984	20.70142
Congo, Rep.	male	1984	20.90094
Cook Islands	male	1984	27.15532
Costa Rica	male	1984	23.947
Cote d'Ivoire	male	1984	21.31013
Croatia	male	1984	25.41073
Cuba	male	1984	23.07165
Cyprus	male	1984	25.54387
Czech Rep.	male	1984	26.49958
Denmark	male	1984	24.58269
Djibouti	male	1984	21.5751
Dominica	male	1984	22.57613
Dominican Rep.	male	1984	23.12295
Ecuador	male	1984	23.98012
Egypt	male	1984	24.63365
El Salvador	male	1984	23.99645
Equatorial Guinea	male	1984	21.15667
Eritrea	male	1984	20.11151
Estonia	male	1984	24.71732
Ethiopia	male	1984	19.57007
Fiji	male	1984	22.86411
Finland	male	1984	25.54429
France	male	1984	24.80748
French Polynesia	male	1984	26.17356
Gabon	male	1984	22.52077
Gambia	male	1984	20.0646
Georgia	male	1984	24.8093
Germany	male	1984	25.64293
Ghana	male	1984	21.04529
Greece	male	1984	24.94193
Greenland	male	1984	24.66469
Grenada	male	1984	23.44967
