country	continent	year	lifeExp	pop	gdpPercap	sex	BMI
Hungary	Europe	2007	73.338	9956108	18008.94444	male	27.00873
Hungary	Europe	2007	73.338	9956108	18008.94444	female	25.9238
Iceland	Europe	2007	81.757	301931	36180.78919	male	27.09734
Iceland	Europe	2007	81.757	301931	36180.78919	female	25.95056
India	Asia	2007	64.698	1110396331	2452.210407	male	20.93488
India	Asia	2007	64.698	1110396331	2452.210407	female	21.26588
Indonesia	Asia	2007	70.65	223547000	3540.651564	male	21.74807
Indonesia	Asia	2007	70.65	223547000	3540.651564	female	22.8804
Iran	Asia	2007	70.964	69453570	11605.71449	male	25.24163
Iran	Asia	2007	70.964	69453570	11605.71449	female	27.04876
Iraq	Asia	2007	59.545	27499638	4471.061906	male	26.64623
Iraq	Asia	2007	59.545	27499638	4471.061906	female	28.31717
Ireland	Europe	2007	78.885	4109086	40675.99635	male	27.57676
Ireland	Europe	2007	78.885	4109086	40675.99635	female	26.55051
Israel	Asia	2007	80.745	6426679	25523.2771	male	27.02232
Israel	Asia	2007	80.745	6426679	25523.2771	female	27.20526
Italy	Europe	2007	80.546	58147733	28569.7197	male	26.40849
Italy	Europe	2007	80.546	58147733	28569.7197	female	24.78988
Jamaica	Americas	2007	72.567	2780132	7320.880262	male	23.91519
Jamaica	Americas	2007	72.567	2780132	7320.880262	female	27.1298
Japan	Asia	2007	82.603	127467972	31656.06806	male	23.44693
Japan	Asia	2007	82.603	127467972	31656.06806	female	21.88134
Jordan	Asia	2007	72.535	6053193	4519.461171	male	27.37429
Jordan	Asia	2007	72.535	6053193	4519.461171	female	29.20494
Kenya	Africa	2007	54.11	35610177	1463.249282	male	21.51645
Kenya	Africa	2007	54.11	35610177	1463.249282	female	22.98678
Korea, Dem. Rep.	Asia	2007	67.297	23301725	1593.06548	male	22.01135
Korea, Dem. Rep.	Asia	2007	67.297	23301725	1593.06548	female	21.24866
Korea, Rep.	Asia	2007	78.623	49044790	23348.13973	male	23.92079
Korea, Rep.	Asia	2007	78.623	49044790	23348.13973	female	23.27995
Kuwait	Asia	2007	77.588	2505559	47306.98978	male	29.003
Kuwait	Asia	2007	77.588	2505559	47306.98978	female	31.01442
Lebanon	Asia	2007	71.993	3921278	10461.05868	male	27.09268
Lebanon	Asia	2007	71.993	3921278	10461.05868	female	27.61608
Lesotho	Africa	2007	42.592	2012649	1569.331442	male	21.76567
Lesotho	Africa	2007	42.592	2012649	1569.331442	female	26.69811
Liberia	Africa	2007	45.678	3193942	414.5073415	male	21.84234
Liberia	Africa	2007	45.678	3193942	414.5073415	female	23.10815
Libya	Africa	2007	73.952	6036914	12057.49928	male	26.44751
Libya	Africa	2007	73.952	6036914	12057.49928	female	29.08073
Madagascar	Africa	2007	59.443	19167654	1044.770126	male	21.3437
Madagascar	Africa	2007	59.443	19167654	1044.770126	female	20.72133
Malawi	Africa	2007	48.303	13327079	759.3499101	male	21.92539
Malawi	Africa	2007	48.303	13327079	759.3499101	female	22.79075
Malaysia	Asia	2007	74.241	24821286	12451.6558	male	24.61322
Malaysia	Asia	2007	74.241	24821286	12451.6558	female	25.34016
Mali	Africa	2007	54.467	12031795	1042.581557	male	21.69203
Mali	Africa	2007	54.467	12031795	1042.581557	female	22.8879
Mauritania	Africa	2007	64.164	3270065	1803.151496	male	22.53522
Mauritania	Africa	2007	64.164	3270065	1803.151496	female	26.13082
Mauritius	Africa	2007	72.801	1250882	10956.99112	male	25.03885
Mauritius	Africa	2007	72.801	1250882	10956.99112	female	26.0189
Mexico	Americas	2007	76.195	108700891	11977.57496	male	27.32899
Mexico	Americas	2007	76.195	108700891	11977.57496	female	28.6183
Mongolia	Asia	2007	66.803	2874127	3095.772271	male	24.71713
Mongolia	Asia	2007	66.803	2874127	3095.772271	female	25.61957
Montenegro	Europe	2007	74.543	684736	9253.896111	male	26.44582
Montenegro	Europe	2007	74.543	684736	9253.896111	female	25.6336
Morocco	Africa	2007	71.164	33757175	3820.17523	male	25.52608
Morocco	Africa	2007	71.164	33757175	3820.17523	female	26.13153
Mozambique	Africa	2007	42.082	19951656	823.6856205	male	21.8193
Mozambique	Africa	2007	42.082	19951656	823.6856205	female	23.18072
Myanmar	Asia	2007	62.069	47761980	944	male	21.32024
Myanmar	Asia	2007	62.069	47761980	944	female	22.33559
Namibia	Africa	2007	52.906	2055080	4811.060429	male	22.4987
Namibia	Africa	2007	52.906	2055080	4811.060429	female	25.02518
Nepal	Asia	2007	63.785	28901790	1091.359778	male	20.74963
Nepal	Asia	2007	63.785	28901790	1091.359778	female	20.63135
Netherlands	Europe	2007	79.762	16570613	36797.93332	male	25.9188
Netherlands	Europe	2007	79.762	16570613	36797.93332	female	25.41349
New Zealand	Oceania	2007	80.204	4115771	25185.00911	male	27.64444
New Zealand	Oceania	2007	80.204	4115771	25185.00911	female	27.26653
Nicaragua	Americas	2007	72.899	5675356	2749.320965	male	25.68266
Nicaragua	Americas	2007	72.899	5675356	2749.320965	female	27.44594
Niger	Africa	2007	56.867	12894865	619.6768924	male	21.14583
Niger	Africa	2007	56.867	12894865	619.6768924	female	21.89981
Nigeria	Africa	2007	46.859	135031164	2013.977305	male	22.91228
Nigeria	Africa	2007	46.859	135031164	2013.977305	female	23.60291
Norway	Europe	2007	80.196	4627926	49357.19017	male	26.83126
Norway	Europe	2007	80.196	4627926	49357.19017	female	25.67953
Oman	Asia	2007	75.64	3204897	22316.19287	male	26.1214
Oman	Asia	2007	75.64	3204897	22316.19287	female	26.61815
Pakistan	Asia	2007	65.483	169270617	2605.94758	male	22.24841
Pakistan	Asia	2007	65.483	169270617	2605.94758	female	23.37641
Panama	Americas	2007	75.537	3242173	9809.185636	male	26.12567
Panama	Americas	2007	75.537	3242173	9809.185636	female	27.51489
Paraguay	Americas	2007	71.752	6667147	4172.838464	male	25.43538
Paraguay	Americas	2007	71.752	6667147	4172.838464	female	25.80675
Peru	Americas	2007	71.421	28674757	7408.905561	male	24.67405
Peru	Americas	2007	71.421	28674757	7408.905561	female	25.95748
Philippines	Asia	2007	71.688	91077287	3190.481016	male	22.8007
Philippines	Asia	2007	71.688	91077287	3190.481016	female	23.3839
Poland	Europe	2007	75.563	38518241	15389.92468	male	26.57013
Poland	Europe	2007	75.563	38518241	15389.92468	female	25.89025
Portugal	Europe	2007	78.098	10642836	20509.64777	male	26.6081
Portugal	Europe	2007	78.098	10642836	20509.64777	female	26.14834
Puerto Rico	Americas	2007	78.746	3942491	19328.70901	male	28.22804
Puerto Rico	Americas	2007	78.746	3942491	19328.70901	female	30.08747
Romania	Europe	2007	72.476	22276056	10808.47561	male	25.28747
Romania	Europe	2007	72.476	22276056	10808.47561	female	25.18177
Rwanda	Africa	2007	46.242	8860588	863.0884639	male	22.4516
Rwanda	Africa	2007	46.242	8860588	863.0884639	female	21.99589
Sao Tome and Principe	Africa	2007	65.528	199579	1598.435089	male	23.37208
Sao Tome and Principe	Africa	2007	65.528	199579	1598.435089	female	24.72319
Saudi Arabia	Asia	2007	72.777	27601038	21654.83194	male	27.7644
Saudi Arabia	Asia	2007	72.777	27601038	21654.83194	female	29.45772
Senegal	Africa	2007	63.062	12267493	1712.472136	male	21.84124
Senegal	Africa	2007	63.062	12267493	1712.472136	female	24.18556
Serbia	Europe	2007	74.002	10150265	9786.534714	male	26.42002
Serbia	Europe	2007	74.002	10150265	9786.534714	female	25.60437
Sierra Leone	Africa	2007	42.568	6144562	862.5407561	male	22.41321
Sierra Leone	Africa	2007	42.568	6144562	862.5407561	female	23.76172
Singapore	Asia	2007	79.972	4553009	47143.17964	male	23.83205
Singapore	Asia	2007	79.972	4553009	47143.17964	female	22.93832
Slovak Republic	Europe	2007	74.663	5447502	18678.31435	male	26.82124
Slovak Republic	Europe	2007	74.663	5447502	18678.31435	female	26.27675
Slovenia	Europe	2007	77.926	2009245	25768.25759	male	27.35064
Slovenia	Europe	2007	77.926	2009245	25768.25759	female	26.55853
Somalia	Africa	2007	48.159	9118773	926.1410683	male	21.89742
Somalia	Africa	2007	48.159	9118773	926.1410683	female	22.58255
South Africa	Africa	2007	49.339	43997828	9269.657808	male	26.51022
South Africa	Africa	2007	49.339	43997828	9269.657808	female	29.31084
Spain	Europe	2007	80.941	40448191	28821.0637	male	27.39562
Spain	Europe	2007	80.941	40448191	28821.0637	female	26.27577
Sri Lanka	Asia	2007	72.396	20378239	3970.095407	male	21.88625
Sri Lanka	Asia	2007	72.396	20378239	3970.095407	female	23.04109
Sudan	Africa	2007	58.556	42292929	2602.394995	male	22.28084
Sudan	Africa	2007	58.556	42292929	2602.394995	female	23.04149
Swaziland	Africa	2007	39.613	1133066	4513.480643	male	23.05694
Swaziland	Africa	2007	39.613	1133066	4513.480643	female	28.34144
Sweden	Europe	2007	80.884	9031088	33859.74835	male	26.29358
Sweden	Europe	2007	80.884	9031088	33859.74835	female	25.12062
Switzerland	Europe	2007	81.701	7554661	37506.41907	male	26.13979
Switzerland	Europe	2007	81.701	7554661	37506.41907	female	24.06285
Syria	Asia	2007	74.143	19314747	4184.548089	male	26.84018
Syria	Asia	2007	74.143	19314747	4184.548089	female	28.78184
Taiwan	Asia	2007	78.4	23174294	28718.27684	male	24.38886
Taiwan	Asia	2007	78.4	23174294	28718.27684	female	23.04753
Tanzania	Africa	2007	52.517	38139640	1107.482182	male	22.38359
Tanzania	Africa	2007	52.517	38139640	1107.482182	female	22.98873
Thailand	Asia	2007	70.616	65068149	7458.396327	male	22.93186
Thailand	Asia	2007	70.616	65068149	7458.396327	female	24.31875
Togo	Africa	2007	58.42	5701579	882.9699438	male	21.80899
Togo	Africa	2007	58.42	5701579	882.9699438	female	22.62821
Trinidad and Tobago	Americas	2007	69.819	1056608	18008.50924	male	26.27426
Trinidad and Tobago	Americas	2007	69.819	1056608	18008.50924	female	28.1595
Tunisia	Africa	2007	73.923	10276158	7092.923025	male	25.03337
Tunisia	Africa	2007	73.923	10276158	7092.923025	female	27.82789
Turkey	Europe	2007	71.777	71158647	8458.276384	male	26.56181
Turkey	Europe	2007	71.777	71158647	8458.276384	female	28.18455
Uganda	Africa	2007	51.542	29170398	1056.380121	male	22.2968
Uganda	Africa	2007	51.542	29170398	1056.380121	female	22.39087
United Kingdom	Europe	2007	79.425	60776238	33203.26128	male	27.29918
United Kingdom	Europe	2007	79.425	60776238	33203.26128	female	26.85908
United States	Americas	2007	78.242	301139947	42951.65309	male	28.37574
United States	Americas	2007	78.242	301139947	42951.65309	female	28.25992
Uruguay	Americas	2007	76.384	3447496	10611.46299	male	26.29256
Uruguay	Americas	2007	76.384	3447496	10611.46299	female	26.45495
Venezuela	Americas	2007	73.747	26084662	11415.80569	male	27.30849
Venezuela	Americas	2007	73.747	26084662	11415.80569	female	27.98427
Vietnam	Asia	2007	74.249	85262356	2441.576404	male	20.80189
Vietnam	Asia	2007	74.249	85262356	2441.576404	female	20.9751
West Bank and Gaza	Asia	2007	73.422	4018332	3025.349798	male	26.5546
West Bank and Gaza	Asia	2007	73.422	4018332	3025.349798	female	28.96325
Yemen, Rep.	Asia	2007	62.698	22211743	2280.769906	male	24.37949
Yemen, Rep.	Asia	2007	62.698	22211743	2280.769906	female	26.01885
Zambia	Africa	2007	42.384	11746035	1271.211593	male	20.5977
Zambia	Africa	2007	42.384	11746035	1271.211593	female	22.94991
Zimbabwe	Africa	2007	43.487	12311143	469.7092981	male	21.97405
Zimbabwe	Africa	2007	43.487	12311143	469.7092981	female	24.63906
