"","country","continent","year","lifeExp","pop","gdpPercap","Diabetes_prevalance_2015"
"77","Bahrain","Asia",1972,63.3,230800,18268.65839,19.6
"78","Bahrain","Asia",1977,65.593,297410,19340.10196,19.6
"79","Bahrain","Asia",1982,69.052,377967,19211.14731,19.6
"80","Bahrain","Asia",1987,70.75,454612,18524.02406,19.6
"81","Bahrain","Asia",1992,72.601,529491,19035.57917,19.6
"82","Bahrain","Asia",1997,73.925,598561,20292.01679,19.6
"83","Bahrain","Asia",2002,74.795,656397,23403.55927,19.6
"84","Bahrain","Asia",2007,75.635,708573,29796.04834,19.6
"85","Bangladesh","Asia",1952,37.484,46886859,684.2441716,8.3
"86","Bangladesh","Asia",1957,39.348,51365468,661.6374577,8.3
"87","Bangladesh","Asia",1962,41.216,56839289,686.3415538,8.3
"88","Bangladesh","Asia",1967,43.453,62821884,721.1860862,8.3
"89","Bangladesh","Asia",1972,45.252,70759295,630.2336265,8.3
"90","Bangladesh","Asia",1977,46.923,80428306,659.8772322,8.3
"91","Bangladesh","Asia",1982,50.009,93074406,676.9818656,8.3
"92","Bangladesh","Asia",1987,52.819,103764241,751.9794035,8.3
"93","Bangladesh","Asia",1992,56.018,113704579,837.8101643,8.3
"94","Bangladesh","Asia",1997,59.412,123315288,972.7700352,8.3
"95","Bangladesh","Asia",2002,62.013,135656790,1136.39043,8.3
"96","Bangladesh","Asia",2007,64.062,150448339,1391.253792,8.3
"97","Belgium","Europe",1952,68,8730405,8343.105127,5.1
"98","Belgium","Europe",1957,69.24,8989111,9714.960623,5.1
"99","Belgium","Europe",1962,70.25,9218400,10991.20676,5.1
"100","Belgium","Europe",1967,70.94,9556500,13149.04119,5.1
"101","Belgium","Europe",1972,71.44,9709100,16672.14356,5.1
"102","Belgium","Europe",1977,72.8,9821800,19117.97448,5.1
"103","Belgium","Europe",1982,73.93,9856303,20979.84589,5.1
"104","Belgium","Europe",1987,75.35,9870200,22525.56308,5.1
"105","Belgium","Europe",1992,76.46,10045622,25575.57069,5.1
"106","Belgium","Europe",1997,77.53,10199787,27561.19663,5.1
"107","Belgium","Europe",2002,78.32,10311970,30485.88375,5.1
"108","Belgium","Europe",2007,79.441,10392226,33692.60508,5.1
"109","Benin","Africa",1952,38.223,1738315,1062.7522,0.8
"110","Benin","Africa",1957,40.358,1925173,959.6010805,0.8
"111","Benin","Africa",1962,42.618,2151895,949.4990641,0.8
"112","Benin","Africa",1967,44.885,2427334,1035.831411,0.8
"113","Benin","Africa",1972,47.014,2761407,1085.796879,0.8
"114","Benin","Africa",1977,49.19,3168267,1029.161251,0.8
"115","Benin","Africa",1982,50.904,3641603,1277.897616,0.8
"116","Benin","Africa",1987,52.337,4243788,1225.85601,0.8
"117","Benin","Africa",1992,53.919,4981671,1191.207681,0.8
"118","Benin","Africa",1997,54.777,6066080,1232.975292,0.8
"119","Benin","Africa",2002,54.406,7026113,1372.877931,0.8
"120","Benin","Africa",2007,56.728,8078314,1441.284873,0.8
"121","Bolivia","Americas",1952,40.414,2883315,2677.326347,7.5
"122","Bolivia","Americas",1957,41.89,3211738,2127.686326,7.5
"123","Bolivia","Americas",1962,43.428,3593918,2180.972546,7.5
"124","Bolivia","Americas",1967,45.032,4040665,2586.886053,7.5
"125","Bolivia","Americas",1972,46.714,4565872,2980.331339,7.5
"126","Bolivia","Americas",1977,50.023,5079716,3548.097832,7.5
"127","Bolivia","Americas",1982,53.859,5642224,3156.510452,7.5
"128","Bolivia","Americas",1987,57.251,6156369,2753.69149,7.5
"129","Bolivia","Americas",1992,59.957,6893451,2961.699694,7.5
"130","Bolivia","Americas",1997,62.05,7693188,3326.143191,7.5
"131","Bolivia","Americas",2002,63.883,8445134,3413.26269,7.5
"132","Bolivia","Americas",2007,65.554,9119152,3822.137084,7.5
"133","Bosnia and Herzegovina","Europe",1952,53.82,2791000,973.5331948,9.9
"134","Bosnia and Herzegovina","Europe",1957,58.45,3076000,1353.989176,9.9
"135","Bosnia and Herzegovina","Europe",1962,61.93,3349000,1709.683679,9.9
"136","Bosnia and Herzegovina","Europe",1967,64.79,3585000,2172.352423,9.9
"137","Bosnia and Herzegovina","Europe",1972,67.45,3819000,2860.16975,9.9
"138","Bosnia and Herzegovina","Europe",1977,69.86,4086000,3528.481305,9.9
"139","Bosnia and Herzegovina","Europe",1982,70.69,4172693,4126.613157,9.9
"140","Bosnia and Herzegovina","Europe",1987,71.14,4338977,4314.114757,9.9
"141","Bosnia and Herzegovina","Europe",1992,72.178,4256013,2546.781445,9.9
"142","Bosnia and Herzegovina","Europe",1997,73.244,3607000,4766.355904,9.9
"143","Bosnia and Herzegovina","Europe",2002,74.09,4165416,6018.975239,9.9
"144","Bosnia and Herzegovina","Europe",2007,74.852,4552198,7446.298803,9.9
"145","Botswana","Africa",1952,47.622,442308,851.2411407,5.6
"146","Botswana","Africa",1957,49.618,474639,918.2325349,5.6
"147","Botswana","Africa",1962,51.52,512764,983.6539764,5.6
"148","Botswana","Africa",1967,53.298,553541,1214.709294,5.6
"149","Botswana","Africa",1972,56.024,619351,2263.611114,5.6
"150","Botswana","Africa",1977,59.319,781472,3214.857818,5.6
"151","Botswana","Africa",1982,61.484,970347,4551.14215,5.6
"152","Botswana","Africa",1987,63.622,1151184,6205.88385,5.6
"153","Botswana","Africa",1992,62.745,1342614,7954.111645,5.6
"154","Botswana","Africa",1997,52.556,1536536,8647.142313,5.6
"155","Botswana","Africa",2002,46.634,1630347,11003.60508,5.6
"156","Botswana","Africa",2007,50.728,1639131,12569.85177,5.6
"157","Brazil","Americas",1952,50.917,56602560,2108.944355,10.4
"158","Brazil","Americas",1957,53.285,65551171,2487.365989,10.4
"159","Brazil","Americas",1962,55.665,76039390,3336.585802,10.4
"160","Brazil","Americas",1967,57.632,88049823,3429.864357,10.4
"161","Brazil","Americas",1972,59.504,100840058,4985.711467,10.4
"162","Brazil","Americas",1977,61.489,114313951,6660.118654,10.4
"163","Brazil","Americas",1982,63.336,128962939,7030.835878,10.4
"164","Brazil","Americas",1987,65.205,142938076,7807.095818,10.4
"165","Brazil","Americas",1992,67.057,155975974,6950.283021,10.4
"166","Brazil","Americas",1997,69.388,168546719,7957.980824,10.4
"167","Brazil","Americas",2002,71.006,179914212,8131.212843,10.4
"168","Brazil","Americas",2007,72.39,190010647,9065.800825,10.4
"169","Bulgaria","Europe",1952,59.6,7274900,2444.286648,5.9
"170","Bulgaria","Europe",1957,66.61,7651254,3008.670727,5.9
"171","Bulgaria","Europe",1962,69.51,8012946,4254.337839,5.9
"172","Bulgaria","Europe",1967,70.42,8310226,5577.0028,5.9
"173","Bulgaria","Europe",1972,70.9,8576200,6597.494398,5.9
"174","Bulgaria","Europe",1977,70.81,8797022,7612.240438,5.9
"175","Bulgaria","Europe",1982,71.08,8892098,8224.191647,5.9
"176","Bulgaria","Europe",1987,71.34,8971958,8239.854824,5.9
"177","Bulgaria","Europe",1992,71.19,8658506,6302.623438,5.9
"178","Bulgaria","Europe",1997,70.32,8066057,5970.38876,5.9
"179","Bulgaria","Europe",2002,72.14,7661799,7696.777725,5.9
"180","Bulgaria","Europe",2007,73.005,7322858,10680.79282,5.9
"181","Burkina Faso","Africa",1952,31.975,4469979,543.2552413,2.2
"182","Burkina Faso","Africa",1957,34.906,4713416,617.1834648,2.2
"183","Burkina Faso","Africa",1962,37.814,4919632,722.5120206,2.2
"184","Burkina Faso","Africa",1967,40.697,5127935,794.8265597,2.2
"185","Burkina Faso","Africa",1972,43.591,5433886,854.7359763,2.2
"186","Burkina Faso","Africa",1977,46.137,5889574,743.3870368,2.2
"187","Burkina Faso","Africa",1982,48.122,6634596,807.1985855,2.2
"188","Burkina Faso","Africa",1987,49.557,7586551,912.0631417,2.2
"189","Burkina Faso","Africa",1992,50.26,8878303,931.7527731,2.2
"190","Burkina Faso","Africa",1997,50.324,10352843,946.2949618,2.2
"191","Burkina Faso","Africa",2002,50.65,12251209,1037.645221,2.2
"192","Burkina Faso","Africa",2007,52.295,14326203,1217.032994,2.2
"193","Burundi","Africa",1952,39.031,2445618,339.2964587,2.7
"194","Burundi","Africa",1957,40.533,2667518,379.5646281,2.7
"195","Burundi","Africa",1962,42.045,2961915,355.2032273,2.7
"196","Burundi","Africa",1967,43.548,3330989,412.9775136,2.7
"197","Burundi","Africa",1972,44.057,3529983,464.0995039,2.7
"198","Burundi","Africa",1977,45.91,3834415,556.1032651,2.7
"199","Burundi","Africa",1982,47.471,4580410,559.603231,2.7
"200","Burundi","Africa",1987,48.211,5126023,621.8188189,2.7
"201","Burundi","Africa",1992,44.736,5809236,631.6998778,2.7
"202","Burundi","Africa",1997,45.326,6121610,463.1151478,2.7
"203","Burundi","Africa",2002,47.36,7021078,446.4035126,2.7
"204","Burundi","Africa",2007,49.58,8390505,430.0706916,2.7
"205","Cambodia","Asia",1952,39.417,4693836,368.4692856,3
"206","Cambodia","Asia",1957,41.366,5322536,434.0383364,3
"207","Cambodia","Asia",1962,43.415,6083619,496.9136476,3
"208","Cambodia","Asia",1967,45.415,6960067,523.4323142,3
"209","Cambodia","Asia",1972,40.317,7450606,421.6240257,3
"210","Cambodia","Asia",1977,31.22,6978607,524.9721832,3
"211","Cambodia","Asia",1982,50.957,7272485,624.4754784,3
"212","Cambodia","Asia",1987,53.914,8371791,683.8955732,3
"213","Cambodia","Asia",1992,55.803,10150094,682.3031755,3
"214","Cambodia","Asia",1997,56.534,11782962,734.28517,3
"215","Cambodia","Asia",2002,56.752,12926707,896.2260153,3
"216","Cambodia","Asia",2007,59.723,14131858,1713.778686,3
"217","Cameroon","Africa",1952,38.523,5009067,1172.667655,6.5
"218","Cameroon","Africa",1957,40.428,5359923,1313.048099,6.5
"219","Cameroon","Africa",1962,42.643,5793633,1399.607441,6.5
"220","Cameroon","Africa",1967,44.799,6335506,1508.453148,6.5
"221","Cameroon","Africa",1972,47.049,7021028,1684.146528,6.5
"222","Cameroon","Africa",1977,49.355,7959865,1783.432873,6.5
"223","Cameroon","Africa",1982,52.961,9250831,2367.983282,6.5
"224","Cameroon","Africa",1987,54.985,10780667,2602.664206,6.5
"225","Cameroon","Africa",1992,54.314,12467171,1793.163278,6.5
"226","Cameroon","Africa",1997,52.199,14195809,1694.337469,6.5
"227","Cameroon","Africa",2002,49.856,15929988,1934.011449,6.5
"228","Cameroon","Africa",2007,50.43,17696293,2042.09524,6.5
"229","Canada","Americas",1952,68.75,14785584,11367.16112,7.4
"230","Canada","Americas",1957,69.96,17010154,12489.95006,7.4
"231","Canada","Americas",1962,71.3,18985849,13462.48555,7.4
"232","Canada","Americas",1967,72.13,20819767,16076.58803,7.4
"233","Canada","Americas",1972,72.88,22284500,18970.57086,7.4
"234","Canada","Americas",1977,74.21,23796400,22090.88306,7.4
"235","Canada","Americas",1982,75.76,25201900,22898.79214,7.4
"236","Canada","Americas",1987,76.86,26549700,26626.51503,7.4
"237","Canada","Americas",1992,77.95,28523502,26342.88426,7.4
"238","Canada","Americas",1997,78.61,30305843,28954.92589,7.4
"239","Canada","Americas",2002,79.77,31902268,33328.96507,7.4
"240","Canada","Americas",2007,80.653,33390141,36319.23501,7.4
"241","Central African Republic","Africa",1952,35.463,1291695,1071.310713,6.3
"242","Central African Republic","Africa",1957,37.464,1392284,1190.844328,6.3
"243","Central African Republic","Africa",1962,39.475,1523478,1193.068753,6.3
"244","Central African Republic","Africa",1967,41.478,1733638,1136.056615,6.3
"245","Central African Republic","Africa",1972,43.457,1927260,1070.013275,6.3
"246","Central African Republic","Africa",1977,46.775,2167533,1109.374338,6.3
"247","Central African Republic","Africa",1982,48.295,2476971,956.7529907,6.3
"248","Central African Republic","Africa",1987,50.485,2840009,844.8763504,6.3
"249","Central African Republic","Africa",1992,49.396,3265124,747.9055252,6.3
"250","Central African Republic","Africa",1997,46.066,3696513,740.5063317,6.3
"251","Central African Republic","Africa",2002,43.308,4048013,738.6906068,6.3
"252","Central African Republic","Africa",2007,44.741,4369038,706.016537,6.3
"253","Chad","Africa",1952,38.092,2682462,1178.665927,5.7
"254","Chad","Africa",1957,39.881,2894855,1308.495577,5.7
"255","Chad","Africa",1962,41.716,3150417,1389.817618,5.7
"256","Chad","Africa",1967,43.601,3495967,1196.810565,5.7
"257","Chad","Africa",1972,45.569,3899068,1104.103987,5.7
"258","Chad","Africa",1977,47.383,4388260,1133.98495,5.7
"259","Chad","Africa",1982,49.517,4875118,797.9081006,5.7
"260","Chad","Africa",1987,51.051,5498955,952.386129,5.7
"261","Chad","Africa",1992,51.724,6429417,1058.0643,5.7
"262","Chad","Africa",1997,51.573,7562011,1004.961353,5.7
"263","Chad","Africa",2002,50.525,8835739,1156.18186,5.7
"264","Chad","Africa",2007,50.651,10238807,1704.063724,5.7
"265","Chile","Americas",1952,54.745,6377619,3939.978789,10
"266","Chile","Americas",1957,56.074,7048426,4315.622723,10
"267","Chile","Americas",1962,57.924,7961258,4519.094331,10
"268","Chile","Americas",1967,60.523,8858908,5106.654313,10
"269","Chile","Americas",1972,63.441,9717524,5494.024437,10
"270","Chile","Americas",1977,67.052,10599793,4756.763836,10
"271","Chile","Americas",1982,70.565,11487112,5095.665738,10
"272","Chile","Americas",1987,72.492,12463354,5547.063754,10
"273","Chile","Americas",1992,74.126,13572994,7596.125964,10
"274","Chile","Americas",1997,75.816,14599929,10118.05318,10
"275","Chile","Americas",2002,77.86,15497046,10778.78385,10
"276","Chile","Americas",2007,78.553,16284741,13171.63885,10
"277","China","Asia",1952,44,556263527,400.448611,9.8
"278","China","Asia",1957,50.54896,637408000,575.9870009,9.8
"279","China","Asia",1962,44.50136,665770000,487.6740183,9.8
"280","China","Asia",1967,58.38112,754550000,612.7056934,9.8
"281","China","Asia",1972,63.11888,862030000,676.9000921,9.8
"282","China","Asia",1977,63.96736,943455000,741.2374699,9.8
"283","China","Asia",1982,65.525,1000281000,962.4213805,9.8
"284","China","Asia",1987,67.274,1084035000,1378.904018,9.8
"285","China","Asia",1992,68.69,1164970000,1655.784158,9.8
"286","China","Asia",1997,70.426,1230075000,2289.234136,9.8
"287","China","Asia",2002,72.028,1280400000,3119.280896,9.8
"288","China","Asia",2007,72.961,1318683096,4959.114854,9.8
"289","Colombia","Americas",1952,50.643,12350771,2144.115096,10
"290","Colombia","Americas",1957,55.118,14485993,2323.805581,10
"291","Colombia","Americas",1962,57.863,17009885,2492.351109,10
"292","Colombia","Americas",1967,59.963,19764027,2678.729839,10
"293","Colombia","Americas",1972,61.623,22542890,3264.660041,10
"294","Colombia","Americas",1977,63.837,25094412,3815.80787,10
"295","Colombia","Americas",1982,66.653,27764644,4397.575659,10
"296","Colombia","Americas",1987,67.768,30964245,4903.2191,10
"297","Colombia","Americas",1992,68.421,34202721,5444.648617,10
"298","Colombia","Americas",1997,70.313,37657830,6117.361746,10
"299","Colombia","Americas",2002,71.682,41008227,5755.259962,10
"300","Colombia","Americas",2007,72.889,44227550,7006.580419,10
"301","Comoros","Africa",1952,40.715,153936,1102.990936,9.9
"302","Comoros","Africa",1957,42.46,170928,1211.148548,9.9
"303","Comoros","Africa",1962,44.467,191689,1406.648278,9.9
"304","Comoros","Africa",1967,46.472,217378,1876.029643,9.9
"305","Comoros","Africa",1972,48.944,250027,1937.577675,9.9
"306","Comoros","Africa",1977,50.939,304739,1172.603047,9.9
"307","Comoros","Africa",1982,52.933,348643,1267.100083,9.9
"308","Comoros","Africa",1987,54.926,395114,1315.980812,9.9
"309","Comoros","Africa",1992,57.939,454429,1246.90737,9.9
"310","Comoros","Africa",1997,60.66,527982,1173.618235,9.9
"311","Comoros","Africa",2002,62.974,614382,1075.811558,9.9
"312","Comoros","Africa",2007,65.152,710960,986.1478792,9.9
"313","Congo, Dem. Rep.","Africa",1952,39.143,14100005,780.5423257,6.4
"314","Congo, Dem. Rep.","Africa",1957,40.652,15577932,905.8602303,6.4
"315","Congo, Dem. Rep.","Africa",1962,42.122,17486434,896.3146335,6.4
"316","Congo, Dem. Rep.","Africa",1967,44.056,19941073,861.5932424,6.4
"317","Congo, Dem. Rep.","Africa",1972,45.989,23007669,904.8960685,6.4
"318","Congo, Dem. Rep.","Africa",1977,47.804,26480870,795.757282,6.4
"319","Congo, Dem. Rep.","Africa",1982,47.784,30646495,673.7478181,6.4
"320","Congo, Dem. Rep.","Africa",1987,47.412,35481645,672.774812,6.4
"321","Congo, Dem. Rep.","Africa",1992,45.548,41672143,457.7191807,6.4
"322","Congo, Dem. Rep.","Africa",1997,42.587,47798986,312.188423,6.4
"323","Congo, Dem. Rep.","Africa",2002,44.966,55379852,241.1658765,6.4
"324","Congo, Dem. Rep.","Africa",2007,46.462,64606759,277.5518587,6.4
"325","Congo, Rep.","Africa",1952,42.111,854885,2125.621418,6.9
"326","Congo, Rep.","Africa",1957,45.053,940458,2315.056572,6.9
"327","Congo, Rep.","Africa",1962,48.435,1047924,2464.783157,6.9
"328","Congo, Rep.","Africa",1967,52.04,1179760,2677.939642,6.9
"329","Congo, Rep.","Africa",1972,54.907,1340458,3213.152683,6.9
"330","Congo, Rep.","Africa",1977,55.625,1536769,3259.178978,6.9
"331","Congo, Rep.","Africa",1982,56.695,1774735,4879.507522,6.9
"332","Congo, Rep.","Africa",1987,57.47,2064095,4201.194937,6.9
"333","Congo, Rep.","Africa",1992,56.433,2409073,4016.239529,6.9
"334","Congo, Rep.","Africa",1997,52.962,2800947,3484.164376,6.9
"335","Congo, Rep.","Africa",2002,52.97,3328795,3484.06197,6.9
"336","Congo, Rep.","Africa",2007,55.322,3800610,3632.557798,6.9
"337","Costa Rica","Americas",1952,57.206,926317,2627.009471,8.5
"338","Costa Rica","Americas",1957,60.026,1112300,2990.010802,8.5
"339","Costa Rica","Americas",1962,62.842,1345187,3460.937025,8.5
"340","Costa Rica","Americas",1967,65.424,1588717,4161.727834,8.5
"341","Costa Rica","Americas",1972,67.849,1834796,5118.146939,8.5
"342","Costa Rica","Americas",1977,70.75,2108457,5926.876967,8.5
"343","Costa Rica","Americas",1982,73.45,2424367,5262.734751,8.5
"344","Costa Rica","Americas",1987,74.752,2799811,5629.915318,8.5
"345","Costa Rica","Americas",1992,75.713,3173216,6160.416317,8.5
"346","Costa Rica","Americas",1997,77.26,3518107,6677.045314,8.5
"347","Costa Rica","Americas",2002,78.123,3834934,7723.447195,8.5
"348","Costa Rica","Americas",2007,78.782,4133884,9645.06142,8.5
"349","Cote d'Ivoire","Africa",1952,40.477,2977019,1388.594732,2.3
"350","Cote d'Ivoire","Africa",1957,42.469,3300000,1500.895925,2.3
"351","Cote d'Ivoire","Africa",1962,44.93,3832408,1728.869428,2.3
"352","Cote d'Ivoire","Africa",1967,47.35,4744870,2052.050473,2.3
"353","Cote d'Ivoire","Africa",1972,49.801,6071696,2378.201111,2.3
"354","Cote d'Ivoire","Africa",1977,52.374,7459574,2517.736547,2.3
"355","Cote d'Ivoire","Africa",1982,53.983,9025951,2602.710169,2.3
"356","Cote d'Ivoire","Africa",1987,54.655,10761098,2156.956069,2.3
"357","Cote d'Ivoire","Africa",1992,52.044,12772596,1648.073791,2.3
"358","Cote d'Ivoire","Africa",1997,47.991,14625967,1786.265407,2.3
"359","Cote d'Ivoire","Africa",2002,46.832,16252726,1648.800823,2.3
"360","Cote d'Ivoire","Africa",2007,48.328,18013409,1544.750112,2.3
"361","Croatia","Europe",1952,61.21,3882229,3119.23652,5.6
"362","Croatia","Europe",1957,64.77,3991242,4338.231617,5.6
"363","Croatia","Europe",1962,67.13,4076557,5477.890018,5.6
"364","Croatia","Europe",1967,68.5,4174366,6960.297861,5.6
"365","Croatia","Europe",1972,69.61,4225310,9164.090127,5.6
"366","Croatia","Europe",1977,70.64,4318673,11305.38517,5.6
"367","Croatia","Europe",1982,70.46,4413368,13221.82184,5.6
"368","Croatia","Europe",1987,71.52,4484310,13822.58394,5.6
"369","Croatia","Europe",1992,72.527,4494013,8447.794873,5.6
"370","Croatia","Europe",1997,73.68,4444595,9875.604515,5.6
"371","Croatia","Europe",2002,74.876,4481020,11628.38895,5.6
"372","Croatia","Europe",2007,75.748,4493312,14619.22272,5.6
"373","Cuba","Americas",1952,59.421,6007797,5586.53878,10
"374","Cuba","Americas",1957,62.325,6640752,6092.174359,10
"375","Cuba","Americas",1962,65.246,7254373,5180.75591,10
"376","Cuba","Americas",1967,68.29,8139332,5690.268015,10
"377","Cuba","Americas",1972,70.723,8831348,5305.445256,10
"378","Cuba","Americas",1977,72.649,9537988,6380.494966,10
"379","Cuba","Americas",1982,73.717,9789224,7316.918107,10
"380","Cuba","Americas",1987,74.174,10239839,7532.924763,10
"381","Cuba","Americas",1992,74.414,10723260,5592.843963,10
"382","Cuba","Americas",1997,76.151,10983007,5431.990415,10
"383","Cuba","Americas",2002,77.158,11226999,6340.646683,10
"384","Cuba","Americas",2007,78.273,11416987,8948.102923,10
"385","Czech Republic","Europe",1952,66.87,9125183,6876.14025,7.4
"386","Czech Republic","Europe",1957,69.03,9513758,8256.343918,7.4
"387","Czech Republic","Europe",1962,69.9,9620282,10136.86713,7.4
"388","Czech Republic","Europe",1967,70.38,9835109,11399.44489,7.4
"389","Czech Republic","Europe",1972,70.29,9862158,13108.4536,7.4
"390","Czech Republic","Europe",1977,70.71,10161915,14800.16062,7.4
"391","Czech Republic","Europe",1982,70.96,10303704,15377.22855,7.4
"392","Czech Republic","Europe",1987,71.58,10311597,16310.4434,7.4
"393","Czech Republic","Europe",1992,72.4,10315702,14297.02122,7.4
"394","Czech Republic","Europe",1997,74.01,10300707,16048.51424,7.4
"395","Czech Republic","Europe",2002,75.51,10256295,17596.21022,7.4
"396","Czech Republic","Europe",2007,76.486,10228744,22833.30851,7.4
"397","Denmark","Europe",1952,70.78,4334000,9692.385245,7.2
"398","Denmark","Europe",1957,71.81,4487831,11099.65935,7.2
"399","Denmark","Europe",1962,72.35,4646899,13583.31351,7.2
"400","Denmark","Europe",1967,72.96,4838800,15937.21123,7.2
"401","Denmark","Europe",1972,73.47,4991596,18866.20721,7.2
"402","Denmark","Europe",1977,74.69,5088419,20422.9015,7.2
"403","Denmark","Europe",1982,74.63,5117810,21688.04048,7.2
"404","Denmark","Europe",1987,74.8,5127024,25116.17581,7.2
"405","Denmark","Europe",1992,75.33,5171393,26406.73985,7.2
"406","Denmark","Europe",1997,76.11,5283663,29804.34567,7.2
"407","Denmark","Europe",2002,77.18,5374693,32166.50006,7.2
"408","Denmark","Europe",2007,78.332,5468120,35278.41874,7.2
"409","Djibouti","Africa",1952,34.812,63149,2669.529475,8.4
"410","Djibouti","Africa",1957,37.328,71851,2864.969076,8.4
"411","Djibouti","Africa",1962,39.693,89898,3020.989263,8.4
"412","Djibouti","Africa",1967,42.074,127617,3020.050513,8.4
"413","Djibouti","Africa",1972,44.366,178848,3694.212352,8.4
"414","Djibouti","Africa",1977,46.519,228694,3081.761022,8.4
